blockIndex,coinbaseReward,timestamp,difficulty,timeBetweenBlocks
0,25600,1723825035142,1,0
1,25600,1723825035680,1,538
2,25600,1723825036219,1,539
3,25600,1723825036764,1,545
4,25600,1723825037322,1,558
5,25600,1723825037834,1,512
6,25600,1723825038362,1,528
7,25600,1723825038887,1,525
8,25600,1723825039416,1,529
9,25600,1723825040262,1,846
10,25600,1723825040800,1,538
11,25600,1723825041326,1,526
12,25600,1723825041850,1,524
13,25600,1723825042377,1,527
14,25600,1723825042891,1,514
15,25600,1723825043418,1,527
16,25600,1723825043948,1,530
17,25600,1723825044461,1,513
18,25600,1723825044976,1,515
19,25600,1723825045509,1,533
20,25600,1723825046054,1,545
21,25600,1723825046586,1,532
22,25600,1723825047097,1,511
23,25600,1723825047625,1,528
24,25600,1723825048157,1,532
25,25600,1723825048671,1,514
26,25600,1723825049200,1,529
27,25600,1723825049716,1,516
28,25600,1723825050242,1,526
29,25600,1723825050767,1,525
30,25600,1723825051297,1,530
31,25600,1723825051843,1,546
32,25600,1723825052358,1,515
33,25600,1723825052872,1,514
34,25600,1723825053404,1,532
35,25600,1723825053922,1,518
36,25600,1723825054454,1,532
37,25600,1723825055002,1,548
38,25600,1723825055562,1,560
39,25600,1723825056108,1,546
40,25600,1723825056673,1,565
41,25600,1723825057207,1,534
42,25600,1723825057740,1,533
43,25600,1723825058290,1,550
44,25600,1723825058848,1,558
45,25600,1723825059383,1,535
46,25600,1723825059911,1,528
47,25600,1723825060437,1,526
48,25600,1723825060966,1,529
49,25600,1723825061494,1,528
50,25600,1723825062021,1,527
51,25600,1723825062554,1,533
52,25600,1723825063078,1,524
53,25600,1723825063606,1,528
54,25600,1723825064137,1,531
55,25600,1723825064663,1,526
56,25600,1723825065180,1,517
57,25600,1723825065711,1,531
58,25600,1723825066236,1,525
59,25600,1723825066769,1,533
60,25600,1723825067309,1,540
61,25600,1723825067845,1,536
62,25600,1723825068376,1,531
63,25600,1723825068909,1,533
64,25600,1723825069440,1,531
65,25600,1723825069997,1,557
66,25600,1723825070569,1,572
67,25600,1723825071100,1,531
68,25600,1723825071617,1,517
69,25600,1723825072134,1,517
70,25600,1723825072659,1,525
71,25600,1723825073188,1,529
72,25600,1723825074029,1,841
73,25600,1723825074543,1,514
74,25600,1723825075059,1,516
75,25600,1723825075571,1,512
76,25600,1723825076084,1,513
77,25600,1723825076601,1,517
78,25600,1723825077109,1,508
79,25600,1723825077636,1,527
80,25600,1723825078159,1,523
81,25600,1723825078690,1,531
82,25600,1723825079234,1,544
83,25600,1723825079749,1,515
84,25600,1723825080293,1,544
85,25600,1723825080820,1,527
86,25600,1723825081338,1,518
87,25600,1723825081856,1,518
88,25600,1723825082369,1,513
89,25600,1723825082883,1,514
90,25600,1723825083432,1,549
91,25600,1723825083977,1,545
92,25600,1723825084506,1,529
93,25600,1723825085047,1,541
94,25600,1723825085595,1,548
95,25600,1723825086122,1,527
96,25600,1723825086651,1,529
97,25600,1723825087177,1,526
98,25600,1723825087723,1,546
99,25600,1723825088252,1,529
100,25600,1723825088792,1,540
101,25600,1723825089328,1,536
102,25600,1723825089868,1,540
103,25600,1723825090422,1,554
104,25600,1723825090968,1,546
105,25600,1723825091494,1,526
106,25600,1723825092022,1,528
107,25600,1723825092554,1,532
108,25600,1723825093083,1,529
109,25600,1723825093612,1,529
110,25600,1723825094150,1,538
111,25600,1723825094681,1,531
112,25600,1723825095206,1,525
113,25600,1723825095718,1,512
114,25600,1723825096237,1,519
115,25600,1723825097074,1,837
116,25600,1723825097589,1,515
117,25600,1723825098118,1,529
118,25600,1723825098650,1,532
119,25600,1723825099178,1,528
120,25600,1723825099739,1,561
121,25600,1723825100272,1,533
122,25600,1723825100788,1,516
123,25600,1723825101326,1,538
124,25600,1723825101881,1,555
125,25600,1723825102426,1,545
126,25600,1723825102957,1,531
127,25600,1723825103499,1,542
128,25600,1723825104027,1,528
129,25600,1723825104555,1,528
130,25600,1723825105080,1,525
131,25600,1723825105614,1,534
132,25600,1723825106143,1,529
133,25600,1723825106662,1,519
134,25600,1723825107178,1,516
135,25600,1723825107690,1,512
136,25600,1723825108202,1,512
137,25600,1723825108716,1,514
138,25600,1723825109230,1,514
139,25600,1723825109759,1,529
140,25600,1723825110299,1,540
141,25600,1723825110817,1,518
142,25600,1723825111335,1,518
143,25600,1723825111846,1,511
144,25600,1723825112363,1,517
145,25600,1723825112873,8,510
146,25600,1723825113387,8,514
147,25600,1723825113902,8,515
148,25600,1723825114429,8,527
149,25600,1723825114959,8,530
150,25600,1723825115499,8,540
151,25600,1723825116654,8,1155
152,25600,1723825117182,8,528
153,25600,1723825117704,8,522
154,25600,1723825118232,8,528
155,25600,1723825118758,8,526
156,25600,1723825119612,8,854
157,25600,1723825120443,8,831
158,25600,1723825120960,8,517
159,25600,1723825121471,8,511
160,25600,1723825121996,8,525
161,25600,1723825122515,8,519
162,25600,1723825123039,8,524
163,25600,1723825123552,8,513
164,25600,1723825124068,8,516
165,25600,1723825124905,8,837
166,25600,1723825125421,8,516
167,25600,1723825125933,8,512
168,25600,1723825126761,8,828
169,25600,1723825127277,8,516
170,25600,1723825128140,8,863
171,25600,1723825128669,8,529
172,25600,1723825129201,8,532
173,25600,1723825129725,8,524
174,25600,1723825130241,8,516
175,25600,1723825131078,8,837
176,25600,1723825131608,8,530
177,25600,1723825132135,8,527
178,25600,1723825132654,8,519
179,25600,1723825133167,8,513
180,25600,1723825133690,8,523
181,25600,1723825134211,8,521
182,25600,1723825134740,8,529
183,25600,1723825135578,8,838
184,25600,1723825136106,8,528
185,25600,1723825137257,8,1151
186,25600,1723825137787,8,530
187,25600,1723825138302,8,515
188,25600,1723825138831,8,529
189,25600,1723825139345,8,514
190,25600,1723825139871,8,526
191,25600,1723825140710,8,839
192,25600,1723825141222,8,512
193,25600,1723825141738,8,516
194,25600,1723825142577,8,839
195,25600,1723825144715,8,2138
196,25600,1723825146172,8,1457
197,25600,1723825146696,8,524
198,25600,1723825147521,8,825
199,25600,1723825148034,8,513
200,25600,1723825148557,8,523
201,25600,1723825149072,8,515
202,25600,1723825149895,8,823
203,25600,1723825150732,8,837
204,25600,1723825151247,8,515
205,25600,1723825151760,8,513
206,25600,1723825152277,8,517
207,25600,1723825152792,8,515
208,25600,1723825153302,8,510
209,25600,1723825153847,8,545
